beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
1.4 T-Jet Abarth 595 COMPETIZIONE,"Klimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag",132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Fiat 500 Abarth 1.4 T-Jet Abarth 595 COMPETIZIONEKlimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag€ 15.990,-31.022 km05/2016132 kW (179 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin6,5 l/100 km (komb.)139 g/km (komb.)",Autocenter Hein NV(33),Tobit Claes • BE-3110 Rotselaar,belgien,15990,31022,"6,5",Fiat,1
180PK JV05451,Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie,- kW (- PS),Gebraucht,Automatik,Elektro/Benzin,101 g/km (komb.),"HybridLexus IS 300 180PK JV05451Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie€ 24.200,-38.676 km07/2016- kW (- PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin4,2 l/100 km (komb.)101 g/km (komb.)",Autohero België(63),Verkoop Autohero • BE-1000 Brussel,belgien,,38676,"4,2",Lexus,0
* ELEKTRISCH * 0€ BIV *,"Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag",125 kW (170 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischBMW i3 * ELEKTRISCH * 0€ BIV *Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag€ 25.500,-50.000 km03/2018125 kW (170 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Delta Motors,D. Alvandi • BE-8520 Kuurne,belgien,,50000,,BMW,0
*** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***,Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86,294 kW (400 PS),Gebraucht,Automatik,Benzin,182 g/km (komb.),"Audi TT RS *** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86€ 69.950,-25.359 km07/2019294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin8 l/100 km (komb.)182 g/km (komb.)",Aecars bvba(125),Alexander Roelens • BE-8870 Izegem,belgien,69950,25359,8,Audi,0
GPS|CUIR|360°|PDC|SGS CH|BT|JA16,- (Erstzulassung),85 kW (116 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ZurückWeiter1 / 30 ElektrischJAC e-S2 GPS|CUIR|360°|PDC|SGS CH|BT|JA16MerkenTeilen€ 28.990,-- km- (Erstzulassung)85 kW (116 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Car Alliance(86),Equipe de vente • BE-4700 Eupen - Verviers - Liège - Sint-Niklaas,belgien,,,,JAC,0
2.7i PDK * Sportseats * Navi * PDC * Xenon * PASM,Garantie / Service na verkoop in eigen atelier,202 kW (275 PS),Gebraucht,Automatik,Benzin,- (g/km),"ZurückWeiter1 / 21Porsche Cayman 2.7i PDK * Sportseats * Navi * PDC * Xenon * PASMGarantie / Service na verkoop in eigen atelier€ 51.500,-57.798 km07/2014202 kW (275 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",Vanlerberghe Premium Cars(31),Olivier Vanlerberghe • BE-8800 Roeselare,belgien,51500,57798,,Porsche,0
Active Tourer 225xe Active Tourer Luxury Line 225P,Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie,165 kW (224 PS),Gebraucht,Automatik,Elektro/Benzin,46 g/km (komb.),"HybridBMW 225 Active Tourer 225xe Active Tourer Luxury Line 225PGratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie€ 19.900,-120.434 km07/2016165 kW (224 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin4,6 l/100 km (komb.)46 g/km (komb.)",Autohero België(63),Verkoop Autohero • BE-1000 Brussel,belgien,,120434,"4,6",BMW,0
4.0 V8 BiTurbo|Pano|Performance stoelen|Nieuwstaat,***Wouter 0472 88 62 79 - Marc 0477 69 30 01*,350 kW (476 PS),Gebraucht,Automatik,Benzin,216 g/km (komb.),"Mercedes-Benz AMG GT 4.0 V8 BiTurbo|Pano|Performance stoelen|Nieuwstaat***Wouter 0472 88 62 79 - Marc 0477 69 30 01*€ 98.900,-31.900 km06/2017350 kW (476 PS)Gebraucht1 FahrzeughalterAutomatikBenzin9,3 l/100 km (komb.)216 g/km (komb.)",Premium Car Company(226),Wouter Klok • BE-3900 Overpelt,belgien,98900,31900,"9,3",Mercedes-Benz,1
Convertible P300 R-Dynamic Bla,"Fahrerairbag, Klimaautomatik, Schlüssellose Zentralverriegelung, Notrufsystem, Alarmanlage, DAB-Radio, Zentralverriegelung, Einparkhilfe Sensoren vorne",221 kW (300 PS),Neu,Automatik,Benzin,219 g/km (komb.),"Jaguar F-Type Convertible P300 R-Dynamic BlaFahrerairbag, Klimaautomatik, Schlüssellose Zentralverriegelung, Notrufsystem, Alarmanlage, DAB-Radio, Zentralverriegelung, Einparkhilfe Sensoren vorne€ 90.900,-0 km01/2022221 kW (300 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)219 g/km (komb.)",Jaguar Land Rover Hasselt(4),Andy Jaemers • BE-3500 Hasselt,belgien,90900,0,,Jaguar,0
Momentum Pro T8 Twin Engine eAWD plug-in hybride,Hechtel - achter de prijzenklopper,223 kW (303 PS),Jahreswagen,Automatik,Elektro/Benzin,41 g/km (komb.),"HybridVolvo S90 Momentum Pro T8 Twin Engine eAWD plug-in hybrideHechtel - achter de prijzenklopper€ 58.750,-6 km11/2021223 kW (303 PS)Jahreswagen- (Fahrzeughalter)AutomatikElektro/Benzin1,9 l/100 km (komb.)41 g/km (komb.)",Rutten NV(7),Sales Hechtel • BE-3940 Hechtel-Eksel,belgien,,6,"1,9",Volvo,0
R-Dynamic Convertible,Ontdek onze volledige aanbod stock & tweedehandswagens,221 kW (300 PS),Neu,Automatik,Benzin,184 g/km (komb.),"Jaguar F-Type R-Dynamic ConvertibleOntdek onze volledige aanbod stock & tweedehandswagens€ 77.990,-0 km01/2022221 kW (300 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)184 g/km (komb.)",Van Mossel Jaguar Land Rover Mechelen(8),Lenn De Vos • BE-2800 Walem (Mechelen),belgien,77990,0,,Jaguar,0
730 d Berline,Vande Kerckhove nv BMW Servicepartner Zingem /,195 kW (265 PS),Gebraucht,Automatik,Diesel,139 g/km (komb.),"BMW 730 730 d BerlineVande Kerckhove nv BMW Servicepartner Zingem / € 62.000,-82.500 km07/2018195 kW (265 PS)Gebraucht1 FahrzeughalterAutomatikDiesel5,3 l/100 km (komb.)139 g/km (komb.)",BMW Vande Kerckhove Zingem - Ronse(8),De Brabant Dirk // Axel Delbecque • BE-9750 Zingem,belgien,62000,82500,"5,3",BMW,1
2.0T Benzine Autom. - GPS - Leder - Topstaat!1S...,Provanmotors be  meer dan 150 voertuigen in stock,203 kW (276 PS),Gebraucht,Automatik,Benzin,174 g/km (komb.),"Cadillac ATS 2.0T Benzine Autom. - GPS - Leder - Topstaat!1S...Provanmotors be  meer dan 150 voertuigen in stock€ 25.990,-41.870 km03/2017203 kW (276 PS)Gebraucht1 FahrzeughalterAutomatikBenzin- (l/100 km)174 g/km (komb.)",Provan Motors(97),Proot Stani • BE-9810 Eke,belgien,25990,41870,,Cadillac,1
S 4.0 V8 510pk * Sportuitlaat * 2018 * 360°,"Navigationssystem, Sportfahrwerk, Getönte Scheiben, 360° Kamera, Head-up display, Isofix, Sommerreifen, Totwinkel-Assistent",375 kW (510 PS),Gebraucht,Automatik,Benzin,192 g/km (komb.),"Mercedes-Benz C 63 AMG S 4.0 V8 510pk * Sportuitlaat * 2018 * 360°Navigationssystem, Sportfahrwerk, Getönte Scheiben, 360° Kamera, Head-up display, Isofix, Sommerreifen, Totwinkel-Assistent€ 49.900,-129.655 km03/2018375 kW (510 PS)Gebraucht2 FahrzeughalterAutomatikBenzin8,2 l/100 km (komb.)192 g/km (komb.)",JVW Motors(61),Jan Van Win • BE-3020 Herent,belgien,49900,129655,"8,2",Mercedes-Benz,2
1.5 TSI 150 pk Ambition afneembare trekhaak,OFFICIEEL VERDELER - OFFICIAL DISTRIBUTOR,110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,111 g/km (komb.),"Skoda Kamiq 1.5 TSI 150 pk Ambition afneembare trekhaakOFFICIEEL VERDELER - OFFICIAL DISTRIBUTOR€ 24.850,-8.450 km01/2022110 kW (150 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin4,8 l/100 km (komb.)111 g/km (komb.)",Thoen Volkswagen(7),Sam Vertongen • BE-9280 Wieze,belgien,24850,8450,"4,8",Skoda,1
PACK AMG- BLANC DIAMANT,***JUSQU'A 5 ANS DE GARANTIE PREMIUM + **,155 kW (211 PS),Gebraucht,Automatik,Benzin,130 g/km (komb.),"Mercedes-Benz C 250 PACK AMG- BLANC DIAMANT***JUSQU'A 5 ANS DE GARANTIE PREMIUM + **€ 32.900,-31.502 km05/2018155 kW (211 PS)Gebraucht1 FahrzeughalterAutomatikBenzin5,8 l/100 km (komb.)130 g/km (komb.)",Magnier sprl(10),Magnier Sébastien • BE-7600 Peruwelz,belgien,32900,31502,"5,8",Mercedes-Benz,1
"Kamiq Style 1,5 TSI 110 kW 6-speed mech.","Beheizbares Lenkrad, Sitzheizung, Einparkhilfe Kamera, Sportfahrwerk, Armlehne, Alufelgen, Einparkhilfe Sensoren vorne, Beheizbare Frontscheibe",110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,113 g/km (komb.),"Skoda Kamiq Kamiq Style 1,5 TSI 110 kW 6-speed mech.Beheizbares Lenkrad, Sitzheizung, Einparkhilfe Kamera, Sportfahrwerk, Armlehne, Alufelgen, Einparkhilfe Sensoren vorne, Beheizbare Frontscheibe€ 23.900,-15.000 km05/2021110 kW (150 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin4,8 l/100 km (komb.)113 g/km (komb.)",Garage Mazzoni(18),BE-6600 Bastogne,belgien,23900,15000,"4,8",Skoda,1
**15000km** Full Leather 1stHand 20'Alu,01/2017,294 kW (400 PS),Gebraucht,Automatik,Benzin,192 g/km (komb.),"Audi TT RS **15000km** Full Leather 1stHand 20'Alu€ 61.900,-15.321 km01/2017294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin8,2 l/100 km (komb.)192 g/km (komb.)",DCT Wielsbeke-Maldegem-Mechelen(71),Frederik Rik Maxime Hendrik Jorn • BE-8710 Wielsbeke - Maldegem - Mechelen,belgien,61900,15321,"8,2",Audi,0
de*PHEV*4-MATIC*AMG*NAVI*LIKE NEW*,Deze wagen VANAF €/maand **TOPDEAL**,235 kW (320 PS),Gebraucht,Automatik,Elektro/Diesel,19 g/km (komb.),"HybridMercedes-Benz GLE 350 de*PHEV*4-MATIC*AMG*NAVI*LIKE NEW*Deze wagen VANAF €/maand **TOPDEAL**€ 78.900,-66.724 km06/2021235 kW (320 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Diesel- (l/100 km)19 g/km (komb.)",FALCOMOTIVE(68),Kim Vreys • BE-3545 Halen,belgien,,66724,,Mercedes-Benz,0
GPS|CUIR|360°|PDC|SGS CH|BT|JA16,- (Erstzulassung),85 kW (116 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ElektrischJAC e-S2 GPS|CUIR|360°|PDC|SGS CH|BT|JA16€ 28.990,-- km- (Erstzulassung)85 kW (116 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Car Alliance(86),Equipe de vente • BE-4700 Eupen - Verviers - Liège - Sint-Niklaas,belgien,,,,JAC,0
1.4 T-Jet Abarth 595 COMPETIZIONE,"Klimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag",132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Fiat 500 Abarth 1.4 T-Jet Abarth 595 COMPETIZIONEKlimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag€ 15.990,-31.022 km05/2016132 kW (179 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin6,5 l/100 km (komb.)139 g/km (komb.)",Autocenter Hein NV(33),Tobit Claes • BE-3110 Rotselaar,belgien,15990,31022,"6,5",Fiat,1
180PK JV05451,Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie,- kW (- PS),Gebraucht,Automatik,Elektro/Benzin,101 g/km (komb.),"HybridLexus IS 300 180PK JV05451Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie€ 24.200,-38.676 km07/2016- kW (- PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin4,2 l/100 km (komb.)101 g/km (komb.)",Autohero België(63),Verkoop Autohero • BE-1000 Brussel,belgien,,38676,"4,2",Lexus,0
* ELEKTRISCH * 0€ BIV *,"Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag",125 kW (170 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischBMW i3 * ELEKTRISCH * 0€ BIV *Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag€ 25.500,-50.000 km03/2018125 kW (170 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Delta Motors,D. Alvandi • BE-8520 Kuurne,belgien,,50000,,BMW,0
*** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***,Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86,294 kW (400 PS),Gebraucht,Automatik,Benzin,182 g/km (komb.),"Audi TT RS *** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86€ 69.950,-25.359 km07/2019294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin8 l/100 km (komb.)182 g/km (komb.)",Aecars bvba(125),Alexander Roelens • BE-8870 Izegem,belgien,69950,25359,8,Audi,0
GPS|CUIR|360°|PDC|SGS CH|BT|JA16,- (Erstzulassung),85 kW (116 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ZurückWeiter1 / 30 ElektrischJAC e-S2 GPS|CUIR|360°|PDC|SGS CH|BT|JA16MerkenTeilen€ 28.990,-- km- (Erstzulassung)85 kW (116 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Car Alliance(86),Equipe de vente • BE-4700 Eupen - Verviers - Liège - Sint-Niklaas,belgien,,,,JAC,0
2.7i PDK * Sportseats * Navi * PDC * Xenon * PASM,Garantie / Service na verkoop in eigen atelier,202 kW (275 PS),Gebraucht,Automatik,Benzin,- (g/km),"ZurückWeiter1 / 21Porsche Cayman 2.7i PDK * Sportseats * Navi * PDC * Xenon * PASMGarantie / Service na verkoop in eigen atelier€ 51.500,-57.798 km07/2014202 kW (275 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",Vanlerberghe Premium Cars(31),Olivier Vanlerberghe • BE-8800 Roeselare,belgien,51500,57798,,Porsche,0
Active Tourer 225xe Active Tourer Luxury Line 225P,Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie,165 kW (224 PS),Gebraucht,Automatik,Elektro/Benzin,46 g/km (komb.),"HybridBMW 225 Active Tourer 225xe Active Tourer Luxury Line 225PGratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie€ 19.900,-120.434 km07/2016165 kW (224 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin4,6 l/100 km (komb.)46 g/km (komb.)",Autohero België(63),Verkoop Autohero • BE-1000 Brussel,belgien,,120434,"4,6",BMW,0
Convertible P300 R-Dynamic Bla,"Fahrerairbag, Klimaautomatik, Schlüssellose Zentralverriegelung, Notrufsystem, Alarmanlage, DAB-Radio, Zentralverriegelung, Einparkhilfe Sensoren vorne",221 kW (300 PS),Neu,Automatik,Benzin,219 g/km (komb.),"Jaguar F-Type Convertible P300 R-Dynamic BlaFahrerairbag, Klimaautomatik, Schlüssellose Zentralverriegelung, Notrufsystem, Alarmanlage, DAB-Radio, Zentralverriegelung, Einparkhilfe Sensoren vorne€ 90.900,-0 km01/2022221 kW (300 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)219 g/km (komb.)",Jaguar Land Rover Hasselt(4),Andy Jaemers • BE-3500 Hasselt,belgien,90900,0,,Jaguar,0
4.0 V8 BiTurbo|Pano|Performance stoelen|Nieuwstaat,***Wouter 0472 88 62 79 - Marc 0477 69 30 01*,350 kW (476 PS),Gebraucht,Automatik,Benzin,216 g/km (komb.),"Mercedes-Benz AMG GT 4.0 V8 BiTurbo|Pano|Performance stoelen|Nieuwstaat***Wouter 0472 88 62 79 - Marc 0477 69 30 01*€ 98.900,-31.900 km06/2017350 kW (476 PS)Gebraucht1 FahrzeughalterAutomatikBenzin9,3 l/100 km (komb.)216 g/km (komb.)",Premium Car Company(226),Wouter Klok • BE-3900 Overpelt,belgien,98900,31900,"9,3",Mercedes-Benz,1
Momentum Pro T8 Twin Engine eAWD plug-in hybride,Hechtel - achter de prijzenklopper,223 kW (303 PS),Jahreswagen,Automatik,Elektro/Benzin,41 g/km (komb.),"HybridVolvo S90 Momentum Pro T8 Twin Engine eAWD plug-in hybrideHechtel - achter de prijzenklopper€ 58.750,-6 km11/2021223 kW (303 PS)Jahreswagen- (Fahrzeughalter)AutomatikElektro/Benzin1,9 l/100 km (komb.)41 g/km (komb.)",Rutten NV(7),Sales Hechtel • BE-3940 Hechtel-Eksel,belgien,,6,"1,9",Volvo,0
R-Dynamic Convertible,Ontdek onze volledige aanbod stock & tweedehandswagens,221 kW (300 PS),Neu,Automatik,Benzin,184 g/km (komb.),"Jaguar F-Type R-Dynamic ConvertibleOntdek onze volledige aanbod stock & tweedehandswagens€ 77.990,-0 km01/2022221 kW (300 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)184 g/km (komb.)",Van Mossel Jaguar Land Rover Mechelen(8),Lenn De Vos • BE-2800 Walem (Mechelen),belgien,77990,0,,Jaguar,0
730 d Berline,Vande Kerckhove nv BMW Servicepartner Zingem /,195 kW (265 PS),Gebraucht,Automatik,Diesel,139 g/km (komb.),"BMW 730 730 d BerlineVande Kerckhove nv BMW Servicepartner Zingem / € 62.000,-82.500 km07/2018195 kW (265 PS)Gebraucht1 FahrzeughalterAutomatikDiesel5,3 l/100 km (komb.)139 g/km (komb.)",BMW Vande Kerckhove Zingem - Ronse(8),De Brabant Dirk // Axel Delbecque • BE-9750 Zingem,belgien,62000,82500,"5,3",BMW,1
2.0T Benzine Autom. - GPS - Leder - Topstaat!1S...,Provanmotors be  meer dan 150 voertuigen in stock,203 kW (276 PS),Gebraucht,Automatik,Benzin,174 g/km (komb.),"Cadillac ATS 2.0T Benzine Autom. - GPS - Leder - Topstaat!1S...Provanmotors be  meer dan 150 voertuigen in stock€ 25.990,-41.870 km03/2017203 kW (276 PS)Gebraucht1 FahrzeughalterAutomatikBenzin- (l/100 km)174 g/km (komb.)",Provan Motors(97),Proot Stani • BE-9810 Eke,belgien,25990,41870,,Cadillac,1
S 4.0 V8 510pk * Sportuitlaat * 2018 * 360°,"Navigationssystem, Sportfahrwerk, Getönte Scheiben, 360° Kamera, Head-up display, Isofix, Sommerreifen, Totwinkel-Assistent",375 kW (510 PS),Gebraucht,Automatik,Benzin,192 g/km (komb.),"Mercedes-Benz C 63 AMG S 4.0 V8 510pk * Sportuitlaat * 2018 * 360°Navigationssystem, Sportfahrwerk, Getönte Scheiben, 360° Kamera, Head-up display, Isofix, Sommerreifen, Totwinkel-Assistent€ 49.900,-129.655 km03/2018375 kW (510 PS)Gebraucht2 FahrzeughalterAutomatikBenzin8,2 l/100 km (komb.)192 g/km (komb.)",JVW Motors(61),Jan Van Win • BE-3020 Herent,belgien,49900,129655,"8,2",Mercedes-Benz,2
1.5 TSI 150 pk Ambition afneembare trekhaak,OFFICIEEL VERDELER - OFFICIAL DISTRIBUTOR,110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,111 g/km (komb.),"Skoda Kamiq 1.5 TSI 150 pk Ambition afneembare trekhaakOFFICIEEL VERDELER - OFFICIAL DISTRIBUTOR€ 24.850,-8.450 km01/2022110 kW (150 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin4,8 l/100 km (komb.)111 g/km (komb.)",Thoen Volkswagen(7),Sam Vertongen • BE-9280 Wieze,belgien,24850,8450,"4,8",Skoda,1
PACK AMG- BLANC DIAMANT,***JUSQU'A 5 ANS DE GARANTIE PREMIUM + **,155 kW (211 PS),Gebraucht,Automatik,Benzin,130 g/km (komb.),"Mercedes-Benz C 250 PACK AMG- BLANC DIAMANT***JUSQU'A 5 ANS DE GARANTIE PREMIUM + **€ 32.900,-31.502 km05/2018155 kW (211 PS)Gebraucht1 FahrzeughalterAutomatikBenzin5,8 l/100 km (komb.)130 g/km (komb.)",Magnier sprl(10),Magnier Sébastien • BE-7600 Peruwelz,belgien,32900,31502,"5,8",Mercedes-Benz,1
"Kamiq Style 1,5 TSI 110 kW 6-speed mech.","Beheizbares Lenkrad, Sitzheizung, Einparkhilfe Kamera, Sportfahrwerk, Armlehne, Alufelgen, Einparkhilfe Sensoren vorne, Beheizbare Frontscheibe",110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,113 g/km (komb.),"Skoda Kamiq Kamiq Style 1,5 TSI 110 kW 6-speed mech.Beheizbares Lenkrad, Sitzheizung, Einparkhilfe Kamera, Sportfahrwerk, Armlehne, Alufelgen, Einparkhilfe Sensoren vorne, Beheizbare Frontscheibe€ 23.900,-15.000 km05/2021110 kW (150 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin4,8 l/100 km (komb.)113 g/km (komb.)",Garage Mazzoni(18),BE-6600 Bastogne,belgien,23900,15000,"4,8",Skoda,1
**15000km** Full Leather 1stHand 20'Alu,01/2017,294 kW (400 PS),Gebraucht,Automatik,Benzin,192 g/km (komb.),"Audi TT RS **15000km** Full Leather 1stHand 20'Alu€ 61.900,-15.321 km01/2017294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin8,2 l/100 km (komb.)192 g/km (komb.)",DCT Wielsbeke-Maldegem-Mechelen(71),Frederik Rik Maxime Hendrik Jorn • BE-8710 Wielsbeke - Maldegem - Mechelen,belgien,61900,15321,"8,2",Audi,0
de*PHEV*4-MATIC*AMG*NAVI*LIKE NEW*,Deze wagen VANAF €/maand **TOPDEAL**,235 kW (320 PS),Gebraucht,Automatik,Elektro/Diesel,19 g/km (komb.),"HybridMercedes-Benz GLE 350 de*PHEV*4-MATIC*AMG*NAVI*LIKE NEW*Deze wagen VANAF €/maand **TOPDEAL**€ 78.900,-66.724 km06/2021235 kW (320 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Diesel- (l/100 km)19 g/km (komb.)",FALCOMOTIVE(68),Kim Vreys • BE-3545 Halen,belgien,,66724,,Mercedes-Benz,0
GPS|CUIR|360°|PDC|SGS CH|BT|JA16,- (Erstzulassung),85 kW (116 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ElektrischJAC e-S2 GPS|CUIR|360°|PDC|SGS CH|BT|JA16€ 28.990,-- km- (Erstzulassung)85 kW (116 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Car Alliance(86),Equipe de vente • BE-4700 Eupen - Verviers - Liège - Sint-Niklaas,belgien,,,,JAC,0
1.4 T-Jet Abarth 595 COMPETIZIONE,"Klimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag",132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Fiat 500 Abarth 1.4 T-Jet Abarth 595 COMPETIZIONEKlimaautomatik, ABS, Freisprecheinrichtung, Traktionskontrolle, Sportfahrwerk, Lederlenkrad, Bordcomputer, Fahrerairbag€ 15.990,-31.022 km05/2016132 kW (179 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin6,5 l/100 km (komb.)139 g/km (komb.)",Autocenter Hein NV(33),Tobit Claes • BE-3110 Rotselaar,belgien,15990,31022,"6,5",Fiat,1
180PK JV05451,Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie,- kW (- PS),Gebraucht,Automatik,Elektro/Benzin,101 g/km (komb.),"HybridLexus IS 300 180PK JV05451Gratis Levering | 21 Dagen Bedenktijd | 1 Jaar Garantie€ 24.200,-38.676 km07/2016- kW (- PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin4,2 l/100 km (komb.)101 g/km (komb.)",Autohero België(63),Verkoop Autohero • BE-1000 Brussel,belgien,,38676,"4,2",Lexus,0
* ELEKTRISCH * 0€ BIV *,"Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag",125 kW (170 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischBMW i3 * ELEKTRISCH * 0€ BIV *Sportpaket, Lederlenkrad, Sitzheizung, Voll-LED Scheinwerfer, Klimaautomatik, Bordcomputer, Elektrische Seitenspiegel, Seitenairbag€ 25.500,-50.000 km03/2018125 kW (170 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Delta Motors,D. Alvandi • BE-8520 Kuurne,belgien,,50000,,BMW,0
*** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***,Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86,294 kW (400 PS),Gebraucht,Automatik,Benzin,182 g/km (komb.),"Audi TT RS *** QUATTRO / ROADSTER / VIRTUAL COCKPIT ***Miklas: +32(0)479/317.967 - Alex: +32(0)476/887.86€ 69.950,-25.359 km07/2019294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin8 l/100 km (komb.)182 g/km (komb.)",Aecars bvba(125),Alexander Roelens • BE-8870 Izegem,belgien,69950,25359,8,Audi,0
GPS|CUIR|360°|PDC|SGS CH|BT|JA16,- (Erstzulassung),85 kW (116 PS),Neu,Automatik,Elektro,0 g/km (komb.),"ZurückWeiter1 / 30 ElektrischJAC e-S2 GPS|CUIR|360°|PDC|SGS CH|BT|JA16MerkenTeilen€ 28.990,-- km- (Erstzulassung)85 kW (116 PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Car Alliance(86),Equipe de vente • BE-4700 Eupen - Verviers - Liège - Sint-Niklaas,belgien,,,,JAC,0
